id,tag_name,created_at
1,sunset,"2023-05-15 11:07:43"
2,photography,"2023-05-15 11:07:43"
3,sunrise,"2023-05-15 11:07:43"
4,landscape,"2023-05-15 11:07:43"
5,food,"2023-05-15 11:07:43"
6,foodie,"2023-05-15 11:07:43"
7,delicious,"2023-05-15 11:07:43"
8,beauty,"2023-05-15 11:07:43"
9,stunning,"2023-05-15 11:07:43"
10,dreamy,"2023-05-15 11:07:43"
11,lol,"2023-05-15 11:07:43"
12,happy,"2023-05-15 11:07:43"
13,fun,"2023-05-15 11:07:43"
14,style,"2023-05-15 11:07:43"
15,hair,"2023-05-15 11:07:43"
16,fashion,"2023-05-15 11:07:43"
17,party,"2023-05-15 11:07:43"
18,concert,"2023-05-15 11:07:43"
19,drunk,"2023-05-15 11:07:43"
20,beach,"2023-05-15 11:07:43"
21,smile,"2023-05-15 11:07:43"
